id_track,id_marine,lat,lon,speed,course,age,date_add
1450171,81,43.1052,131.914,0,287,4,2/23/2016 0:00
1450172,82,43.1077,131.922,0,110,3,2/23/2016 0:00
1450173,83,43.1078,131.923,0,299,3,2/23/2016 0:00
1450174,84,43.1079,131.922,0,80,3,2/23/2016 0:00
1450175,86,43.1207,131.917,0,0,2,2/23/2016 0:00
1450176,55,43.0415,131.928,0,314,4,2/23/2016 0:00
1450177,144,43.0481,131.929,0,250,3,2/23/2016 0:00
1450178,31,43.0535,131.926,76,117,2,2/23/2016 0:00
1450179,142,43.0737,131.926,0,227,2,2/23/2016 0:00
1450180,89,43.1049,131.926,0,7,4,2/23/2016 0:00
1450181,90,43.1053,131.927,1,347,2,2/23/2016 0:00
1450182,88,43.1079,131.93,2,8,3,2/23/2016 0:00
1450183,92,43.1079,131.926,0,0,5,2/23/2016 0:00
1450184,93,43.0404,131.935,0,0,4,2/23/2016 0:00
1450185,115,43.0737,131.933,0,0,14,2/23/2016 0:00
1450186,118,43.0814,131.984,0,272,9,2/23/2016 0:00
1450187,147,43.0397,131.994,75,277,2,2/23/2016 0:00
1450188,98,43.0796,131.994,1,343,3,2/23/2016 0:00
1450189,99,43.0798,131.995,0,224,3,2/23/2016 0:00
1450190,100,43.0847,132.008,1,3,22,2/23/2016 0:00
1450191,143,43.0657,132.012,1,69,3,2/23/2016 0:00
1450192,102,43.0889,132.018,1,330,3,2/23/2016 0:00
1450193,113,43.0915,132.029,1,250,2,2/23/2016 0:00
1450194,134,43.0512,132.033,0,0,4,2/23/2016 0:00
1450195,111,43.0836,132.038,0,212,2,2/23/2016 0:00
1450196,103,43.0838,132.038,1,227,3,2/23/2016 0:00
1450197,133,43.0652,132.04,2,0,2,2/23/2016 0:00
1450198,150,43.0964,131.803,93,334,3,2/23/2016 0:00
1450199,1,43.0798,131.853,0,21,3,2/23/2016 0:00
1450200,2,43.0801,131.855,0,204,2,2/23/2016 0:00
1450201,136,43.0909,131.869,0,353,2,2/23/2016 0:00
1450202,128,43.093,131.872,0,280,4,2/23/2016 0:00
1450203,5,43.0948,131.874,0,359,2,2/23/2016 0:00
1450204,114,43.0977,131.871,0,258,3,2/23/2016 0:00
1450205,130,43.0993,131.87,0,293,3,2/23/2016 0:00
1450206,12,43.1011,131.873,0,309,4,2/23/2016 0:00
1450207,14,43.0618,131.883,0,0,3,2/23/2016 0:00
1450208,15,43.0803,131.884,0,282,2,2/23/2016 0:00
1450209,135,43.0863,131.884,0,50,3,2/23/2016 0:00
1450210,125,43.0927,131.88,0,181,2,2/23/2016 0:00
1450211,122,43.0927,131.88,0,234,20,2/23/2016 0:00
1450212,18,43.0934,131.88,0,93,2,2/23/2016 0:00
1450213,19,43.0936,131.88,0,312,3,2/23/2016 0:00
1450214,20,43.0939,131.881,0,318,3,2/23/2016 0:00
1450215,137,43.0963,131.883,0,218,8,2/23/2016 0:00
1450216,138,43.0977,131.882,0,41,6,2/23/2016 0:00
1450217,139,43.098,131.882,0,12,3,2/23/2016 0:00
1450218,48,43.0989,131.879,113,200,3,2/23/2016 0:00
1450219,131,43.1007,131.883,0,268,4,2/23/2016 0:00
1450220,149,43.101,131.883,0,4,7,2/23/2016 0:00
1450221,146,43.1039,131.878,0,290,3,2/23/2016 0:00
1450222,70,43.1039,131.878,0,122,3,2/23/2016 0:00
1450223,17,43.109,131.883,0,0,5,2/23/2016 0:00
1450224,26,43.062,131.887,0,202,5,2/23/2016 0:00
1450225,27,43.0621,131.887,0,111,4,2/23/2016 0:00
1450226,94,43.0622,131.887,0,0,4,2/23/2016 0:00
1450227,28,43.0623,131.887,0,21,3,2/23/2016 0:00
1450228,30,43.0626,131.888,0,0,3,2/23/2016 0:00
1450229,116,43.082,131.891,0,86,3,2/23/2016 0:00
1450230,148,43.0855,131.888,1,129,56,2/23/2016 0:00
1450231,33,43.0859,131.889,0,236,4,2/23/2016 0:00
1450232,42,43.0905,131.892,1,41,2,2/23/2016 0:00
1450233,35,43.0906,131.892,0,198,3,2/23/2016 0:00
1450234,41,43.0911,131.893,1,239,4,2/23/2016 0:00
1450235,40,43.0911,131.893,0,320,5,2/23/2016 0:00
1450236,13,43.1037,131.887,0,159,4,2/23/2016 0:00
1450237,45,43.1044,131.889,0,59,3,2/23/2016 0:00
1450238,47,43.1057,131.891,0,0,5,2/23/2016 0:00
1450239,46,43.1058,131.892,0,64,2,2/23/2016 0:00
1450240,108,43.1061,131.893,0,0,5,2/23/2016 0:00
1450241,140,43.0647,131.903,57,123,2,2/23/2016 0:00
1450242,50,43.091,131.895,0,104,3,2/23/2016 0:00
1450243,51,43.1059,131.903,0,0,3,2/23/2016 0:00
1450244,53,43.1063,131.902,0,90,4,2/23/2016 0:00
1450245,16,43.1064,131.9,0,208,2,2/23/2016 0:00
1450246,52,43.1065,131.895,0,147,3,2/23/2016 0:00
1450247,141,43.1068,131.897,0,357,4,2/23/2016 0:00
1450248,58,43.1118,131.898,0,167,4,2/23/2016 0:00
1450249,68,43.1119,131.895,0,0,4,2/23/2016 0:00
1450250,60,43.1119,131.895,0,0,3,2/23/2016 0:00
1450251,119,43.1422,131.896,0,216,7,2/23/2016 0:00
1450252,62,43.1447,131.896,0,0,5,2/23/2016 0:00
1450253,123,43.1052,131.909,0,348,7,2/23/2016 0:00
1450254,67,43.1055,131.908,1,109,4,2/23/2016 0:00
1450255,69,43.0432,131.919,0,320,3,2/23/2016 0:00
1450256,71,43.0473,131.918,1,312,3,2/23/2016 0:00
1450257,110,43.0541,131.916,0,293,3,2/23/2016 0:00
1450258,65,43.0722,131.914,0,326,2,2/23/2016 0:00
1450259,72,43.0722,131.915,0,292,2,2/23/2016 0:00
1450260,73,43.0729,131.915,0,0,5,2/23/2016 0:00
1450261,74,43.0781,131.917,0,85,3,2/23/2016 0:00
1450262,97,43.1044,131.919,0,0,3,2/23/2016 0:00
1450263,77,43.1045,131.919,0,154,200,2/23/2016 0:00
1450264,76,43.1045,131.919,0,0,2,2/23/2016 0:00
1450265,78,43.105,131.914,0,33,3,2/23/2016 0:00
1450266,79,43.105,131.915,0,278,3,2/23/2016 0:00
1450267,80,43.1051,131.915,0,278,4,2/23/2016 0:00
1450268,81,43.1052,131.914,0,287,4,2/23/2016 0:00
1450269,82,43.1077,131.922,0,110,3,2/23/2016 0:00
1450270,83,43.1078,131.923,0,299,3,2/23/2016 0:00
1450271,84,43.1079,131.922,0,80,3,2/23/2016 0:00
1450272,86,43.1207,131.917,0,0,2,2/23/2016 0:00
1450273,55,43.0415,131.928,0,314,4,2/23/2016 0:00
1450274,144,43.0481,131.929,0,250,3,2/23/2016 0:00
1450275,31,43.0535,131.926,76,117,2,2/23/2016 0:00
1450276,142,43.0737,131.926,0,227,2,2/23/2016 0:00
1450277,89,43.1049,131.926,0,7,4,2/23/2016 0:00
1450278,90,43.1053,131.927,1,347,2,2/23/2016 0:00
1450279,88,43.1079,131.93,2,8,3,2/23/2016 0:00
1450280,92,43.1079,131.926,0,0,5,2/23/2016 0:00
1450281,93,43.0404,131.935,0,0,4,2/23/2016 0:00
1450282,115,43.0737,131.933,0,0,14,2/23/2016 0:00
1450283,118,43.0814,131.984,0,272,9,2/23/2016 0:00
1450284,147,43.0397,131.994,75,277,2,2/23/2016 0:00
1450285,98,43.0796,131.994,1,343,3,2/23/2016 0:00
1450286,99,43.0798,131.995,0,224,3,2/23/2016 0:00
1450287,100,43.0847,132.008,1,3,22,2/23/2016 0:00
1450288,143,43.0657,132.012,1,69,3,2/23/2016 0:00
1450289,102,43.0889,132.018,1,330,3,2/23/2016 0:00
1450290,113,43.0915,132.029,1,250,2,2/23/2016 0:00
1450291,134,43.0512,132.033,0,0,4,2/23/2016 0:00
1450292,111,43.0836,132.038,0,212,2,2/23/2016 0:00
